u,v,r,R_0,X_vv,X_vr,X_rr,X_vvvv,Y_v,Y_r,Y_vvv,Y_vvr,Y_vrr,Y_rrr,N_v,N_r,N_vvv,N_vvr,N_vrr,N_rrr
0.0,0.0,0.0,0.02234362919466212,-0.03700122176431984,0.0019559070956321448,0.008275460664018956,0.7561689039278705,-0.32327404967947976,0.08104209636456174,-1.575017778334623,0.3752673859303604,-0.3485139941060057,0.008563702572451422,-0.13811882107142884,-0.049134045710191,-0.025983961572675487,-0.2985487128846581,0.04059371846022587,-0.013850765305085342
0.0,0.0,0.0,0.021824530686899334,-0.04289261509718303,0.000614906947106962,0.01246196942863137,0.7582244333092243,-0.3149586428468481,0.08571848251795244,-1.6044641918195173,0.3841130106099185,-0.39589318740064733,0.009140860037456277,-0.13661410402956892,-0.04980060631793497,-0.03738958581077677,-0.2860253635163491,0.05692271926467275,-0.013031822502661208
0.0,0.0,0.0,0.020314920583135592,-0.04325544471938515,0.004295622817842022,0.012138637403408556,0.7357622670328496,-0.3153026204052713,0.07463630849199633,-1.7412390256754764,0.4084653292188632,-0.38170764464304563,0.007616258200793273,-0.13038798121784198,-0.049418293100608794,-0.029183826545335773,-0.30875325556304944,0.05670128187565545,-0.012988371288343242
0.0,0.0,0.0,0.021573007932156316,-0.042254148586457506,0.0005409461061834416,0.009379160544436625,0.7648258139837368,-0.31366925745214536,0.0838600417460719,-1.5408839978290405,0.3876577923275035,-0.3852051241920315,0.009861873506412138,-0.13529983006071003,-0.051187869576970496,-0.02491320448357102,-0.2917826783138891,0.07079390167502042,-0.012296875504205513
0.0,0.0,0.0,0.02485479052437668,-0.04376062827320108,-0.004709508480384866,0.010407858747461198,0.755688952242278,-0.31468891574578794,0.08498821345354092,-1.3439952445051828,0.38316608847452305,-0.3752263083453931,0.007503254113741697,-0.13588896540424375,-0.04795423842272868,-0.046612857632456955,-0.29321976741524364,0.06524501875951,-0.01348109454565085
0.0,0.0,0.0,0.021864835786892852,-0.037951905994676335,0.0011141842124419872,0.008282867322687452,0.8037876242998013,-0.31410511982571465,0.08095939476739114,-1.5219162775288453,0.45584766095124635,-0.4257598424765193,0.00788347914879457,-0.1326092520309168,-0.0504684849625721,-0.01998591052826191,-0.29657951429747337,0.06307228064323109,-0.013921399526130362
0.0,0.0,0.0,0.024396599513663787,-0.046159904122443675,0.0016677397209600257,0.009871662408955552,0.7336244490829631,-0.3249446470909786,0.08560322013367282,-1.6332565449241339,0.42567560437802326,-0.40849871902120005,0.007283202102699491,-0.14058082789297519,-0.04831208568738081,-0.037547980725434624,-0.29649500015587854,0.06147904902481908,-0.01268745560528564
0.0,0.0,0.0,0.022368454776256853,-0.03385611628408242,0.003368944798988793,0.009437136649647546,0.771237328448312,-0.3183991125035082,0.08424051928445882,-1.693488780041431,0.3988912573287124,-0.3575003608884313,0.0034217757564226087,-0.13938919150847362,-0.050389461948733866,-0.01961355619865579,-0.2980028425355034,0.05820388318638143,-0.012266283476032891
0.0,0.0,0.0,0.0207501061173382,-0.03608476319569094,0.0066927837343833665,0.011426139317226622,0.7613607128057518,-0.32030310447706145,0.07662207423227024,-1.5041190326911087,0.364776543632012,-0.3800079484054999,0.00482020048998283,-0.1406067685920858,-0.04888331507473939,-0.018732574558526553,-0.2824893773054104,0.050730583004926236,-0.013698081728613207
0.0,0.0,0.0,0.02114814669674222,-0.035744908447569126,0.00020749647136455605,0.010034474292862831,0.7508866508607696,-0.3088610061402857,0.07658543684910088,-1.6238848632675884,0.4452792636575774,-0.407484404452059,0.009783491062327346,-0.13512850139974325,-0.046910111424583206,-0.031244016258206837,-0.30791926223571847,0.06094380325919097,-0.01209114126806237
0.0,0.0,0.0,0.020461612739134417,-0.038828677476555766,0.008446986200865694,0.010477123379753199,0.8175089302661234,-0.3258436719324012,0.07741981958485179,-1.5327224392019116,0.2663802037494597,-0.3814360262608688,0.008240963782321833,-0.13505564699033928,-0.04950469152969615,-0.036288186490693146,-0.2935229607611418,0.057432506937400686,-0.012440272053938682
